method,key,K1_post_ASR_pct,K3_post_ASR_pct,K5_post_ASR_pct,win_ASR_pct,FTR_pct,CR,CR_std,clean_retention_pct
Ours (Causal),causal,5.199999734759331,7.346939295530319,9.687500447034836,100.0,1.0891089215874672,1866.4930419921875,24.65778350830078,99.87452905120475
Latent-target,static_latent,1.8000001087784767,2.448979578912258,2.083333395421505,9.375,1.0891089215874672,1862.6185302734375,27.358304977416992,99.66720707115573
Vanilla-backdoor,reflective,1.4000000432133675,2.142857015132904,2.500000037252903,100.0,0.89108906686306,1850.5145263671875,43.58749008178711,99.01953163783058
